"shapeid","x","y","identifier","formOfNode","fictitious","identifi_1","class","roadNumber","name1","name1_lang","name2","name2_lang","formOfWay","strategic","length","structure","loop","startNode","endNode","formsPart","gml_id","changeType","startDate","lastUpdate","entryDate","uprn","logicalSta","blpuState","blpuStateD","rpc","localCusto","country","addressbas","postcodeLo","multiOccCo","deliveryPo","delivery_1","delivery_2","udprn","buildingNu","thoroughfa","postTown","postcode","postcodeTy","delivery_3","processDat","landProper","landProp_1","landProp_2","lpiKey","landProp_3","paoStartNu","usrn","usrnMatchI","officialFl","applicatio","applicat_1","applicat_2","xRefKey","crossRefer","version","source","classifica","classifi_1","classifi_2","classKey","classifi_3","classSchem","schemeVers","buildingNa","paoStartSu","parentUPRN","subBuildin","saoText","saoStartNu","paoText","organisati","organisa_1","organisa_2","orgKey","organisa_3","endDate","landProp_4","applicat_3","classifi_4","organisa_4","dependentT","paoEndNumb","saoStartSu","dependentL","paoEndSuff","organisa_5","department","doubleDepe","saoEndNumb","poBoxNumbe","best_server"
"0","291512.0","91246.0","21fd767e-1c9d-43ec-8819-0803a6ef19b2","junction","false","80313e31-bd6f-44f8-88aa-be9ad24d5e77","A Road","A377","Alphington Road","Acc","NULL","NULL","Single Carriageway","Primary","32.985","NULL","false","d0027b43-441d-4853-9731-1ad90f3204b9","21fd767e-1c9d-43ec-8819-0803a6ef19b2","osgb4000000025354373,osgb4000000021011724","uk.addressbase.uprn.10024669858","I","2011-09-16","2016-02-10","2011-09-01","10024669858.0","1","NULL","NULL","1","7655","E","N","EX2 8HU","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101176620)","(1:1)","NULL","(1:14202922)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2015-07-16,2016-02-07,2006-03-17,2006-03-18)","(4:7655X600391498,7655X134389579,7655X700391498,7655X900391498)","(4:osgb4000000025335328,E05003506,osgb1000012289425,osgb5000000000052985)","(3:4,3,9)","(4:7666MI,7666OW,7666MT,7666MA)","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655C000391498)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1"
"1","291520.0","91765.0","107e34a0-81d9-409b-8f25-56e9fc9e9db3","pseudoNode","false","24e9b29c-78bd-4fa7-beb4-d9a06ad6661a","Unclassified","NULL","School Road","Acc","NULL","NULL","Single Carriageway","NULL","38.949","NULL","false","107e34a0-81d9-409b-8f25-56e9fc9e9db3","b9505512-666d-4694-934e-7e4159094d94","osgb4000000025363958","uk.addressbase.uprn.10024944117","I","2011-09-16","2016-02-10","2010-02-24","10024944117.0","1","NULL","NULL","1","7655","E","N","EX4 1AH","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101415149)","(1:1)","NULL","(1:14202720)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-10,2016-02-07,2016-02-10)","(4:2014-09-09,2006-03-18,2016-02-07,2008-03-02)","(4:7655X600611657,7655X900611657,7655X135455459,7655X700611657)","(4:osgb5000005132093442,osgb5000000000739190,E05003506,...)","(3:1,17,5)","(4:7666MI,7666MA,7666OW,7666MT)","(1:2011-09-16)","(1:2016-02-10)","(1:2010-02-24)","(1:7655C000611657)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11"
"2","291495.0","91110.0","30dbcc6a-8697-4fd4-8e46-3cb6b4c96cae","junction","false","313a7e27-ad13-4387-86ea-8fdb7cfe2db3","A Road","A377","Alphington Road","Acc","NULL","NULL","Single Carriageway","Primary","21.0","NULL","false","30dbcc6a-8697-4fd4-8e46-3cb6b4c96cae","b1d568a4-780b-47e8-89fe-2b9af06876f7","osgb4000000025354373,osgb4000000021011724","uk.addressbase.uprn.10024669858","I","2011-09-16","2016-02-10","2011-09-01","10024669858.0","1","NULL","NULL","1","7655","E","N","EX2 8HU","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101176620)","(1:1)","NULL","(1:14202922)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2015-07-16,2016-02-07,2006-03-17,2006-03-18)","(4:7655X600391498,7655X134389579,7655X700391498,7655X900391498)","(4:osgb4000000025335328,E05003506,osgb1000012289425,osgb5000000000052985)","(3:4,3,9)","(4:7666MI,7666OW,7666MT,7666MA)","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655C000391498)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1"
"3","291241.411","91661.407","61062f5d-a00b-47cc-90f5-7ac7f2028b32","junction","false","c188ce78-2ea9-42e3-a27f-685e78b94d48","Unclassified","NULL","Chieftain Way","Acc","NULL","NULL","Single Carriageway","NULL","65.01","NULL","false","0b112290-6fdd-473d-a10b-f41ac4d62819","61062f5d-a00b-47cc-90f5-7ac7f2028b32","osgb5000005100407931","uk.addressbase.uprn.10025539643","I","2015-08-19","2016-02-10","2013-07-16","10025539643.0","1","NULL","NULL","1","7655","E","N","EX2 9DS","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2015-08-19)","(1:2016-02-10)","(1:2013-07-16)","(1:7655L102292936)","(1:1)","NULL","(1:14200300)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-07,2016-02-10,2016-02-10,2016-02-10)","(4:2016-02-07,2010-07-30,2013-04-07,2013-04-29)","(4:7655X106775110,7655X603666802,7655X703553471,7655X903656099)","(4:E05003506,osgb4000000025335808,osgb5000005108948638,...)","(3:6,1,4)","(4:7666OW,7666MI,7666MT,7666MA)","(1:2015-08-19)","(1:2016-02-10)","(1:2013-07-16)","(1:7655C003264780)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"4","291520.0","91765.0","107e34a0-81d9-409b-8f25-56e9fc9e9db3","pseudoNode","false","3c87a124-8f73-458d-9042-20847d4ad97d","Unclassified","NULL","Oxford Street","Acc","NULL","NULL","Single Carriageway","NULL","159.176","NULL","false","107e34a0-81d9-409b-8f25-56e9fc9e9db3","168e7ca5-7ed7-46a8-9ff3-8164e429f424","osgb4000000025360569","uk.addressbase.uprn.10024944117","I","2011-09-16","2016-02-10","2010-02-24","10024944117.0","1","NULL","NULL","1","7655","E","N","EX4 1AH","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101415149)","(1:1)","NULL","(1:14202720)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-10,2016-02-07,2016-02-10)","(4:2014-09-09,2006-03-18,2016-02-07,2008-03-02)","(4:7655X600611657,7655X900611657,7655X135455459,7655X700611657)","(4:osgb5000005132093442,osgb5000000000739190,E05003506,...)","(3:1,17,5)","(4:7666MI,7666MA,7666OW,7666MT)","(1:2011-09-16)","(1:2016-02-10)","(1:2010-02-24)","(1:7655C000611657)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11"
"5","291241.411","91661.407","61062f5d-a00b-47cc-90f5-7ac7f2028b32","junction","false","780b5b9c-ce0c-4229-a35f-bde24577e431","Unclassified","NULL","Sanford Place","Acc","NULL","NULL","Single Carriageway","NULL","7.034","NULL","false","61062f5d-a00b-47cc-90f5-7ac7f2028b32","03c4f645-f74d-4a7c-bcfa-9e27f8676a7f","osgb4000000025468206","uk.addressbase.uprn.10025539643","I","2015-08-19","2016-02-10","2013-07-16","10025539643.0","1","NULL","NULL","1","7655","E","N","EX2 9DS","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2015-08-19)","(1:2016-02-10)","(1:2013-07-16)","(1:7655L102292936)","(1:1)","NULL","(1:14200300)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-07,2016-02-10,2016-02-10,2016-02-10)","(4:2016-02-07,2010-07-30,2013-04-07,2013-04-29)","(4:7655X106775110,7655X603666802,7655X703553471,7655X903656099)","(4:E05003506,osgb4000000025335808,osgb5000005108948638,...)","(3:6,1,4)","(4:7666OW,7666MI,7666MT,7666MA)","(1:2015-08-19)","(1:2016-02-10)","(1:2013-07-16)","(1:7655C003264780)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"6","291136.0","91613.0","d70479b3-1015-478e-916a-102db37ec07f","junction","false","b9f5ae7b-b193-46a2-8785-164a54c82aec","Unclassified","NULL","Shaftesbury Road","Acc","NULL","NULL","Single Carriageway","NULL","176.918","NULL","false","d70479b3-1015-478e-916a-102db37ec07f","72758131-3232-4c23-ba52-633647137316","osgb4000000025360563","uk.addressbase.uprn.10024665616","I","2011-09-16","2016-02-10","2010-09-29","10024665616.0","1","NULL","NULL","1","7655","E","N","EX2 9AY","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2010-09-29)","(1:7655L101170247)","(1:1)","NULL","(1:14200300)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-07,2016-02-10,2016-02-10,2016-02-10)","(4:2016-02-07,2005-09-16,2008-01-30,2006-03-18)","(4:7655X134368746,7655X600389275,7655X700389275,7655X900389275)","(4:E05003506,osgb4000000025335770,osgb1000012288409,osgb5000000000052819)","(3:3,4,13)","(4:7666OW,7666MI,7666MT,7666MA)","(1:2011-09-16)","(1:2016-02-10)","(1:2010-09-29)","(1:7655C000389275)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:ELECTRICITY SUB STATION 5M FROM 36 RICES MEWS. 7M FROM FERNDALE ROAD)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","23"
"7","291136.0","91613.0","d70479b3-1015-478e-916a-102db37ec07f","junction","false","6eac1d8f-8407-49c2-b73c-e50bd1800ce5","Unclassified","NULL","Old Vicarage Road","Acc","NULL","NULL","Single Carriageway","NULL","49.649","NULL","false","d70479b3-1015-478e-916a-102db37ec07f","f7cbc77c-501a-47c5-9840-d228e8f1bea1","osgb4000000025357212","uk.addressbase.uprn.10024665616","I","2011-09-16","2016-02-10","2010-09-29","10024665616.0","1","NULL","NULL","1","7655","E","N","EX2 9AY","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2010-09-29)","(1:7655L101170247)","(1:1)","NULL","(1:14200300)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-07,2016-02-10,2016-02-10,2016-02-10)","(4:2016-02-07,2005-09-16,2008-01-30,2006-03-18)","(4:7655X134368746,7655X600389275,7655X700389275,7655X900389275)","(4:E05003506,osgb4000000025335770,osgb1000012288409,osgb5000000000052819)","(3:3,4,13)","(4:7666OW,7666MI,7666MT,7666MA)","(1:2011-09-16)","(1:2016-02-10)","(1:2010-09-29)","(1:7655C000389275)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:ELECTRICITY SUB STATION 5M FROM 36 RICES MEWS. 7M FROM FERNDALE ROAD)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","23"
"8","291136.0","91613.0","d70479b3-1015-478e-916a-102db37ec07f","junction","false","cbf5c40c-d284-4ad2-b432-8b009a8e90aa","Unclassified","NULL","Old Vicarage Road","Acc","NULL","NULL","Single Carriageway","NULL","49.193","NULL","false","44d4d6ef-6069-49d1-98b6-f30a2dd423b3","d70479b3-1015-478e-916a-102db37ec07f","osgb4000000025357212","uk.addressbase.uprn.10024665616","I","2011-09-16","2016-02-10","2010-09-29","10024665616.0","1","NULL","NULL","1","7655","E","N","EX2 9AY","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2010-09-29)","(1:7655L101170247)","(1:1)","NULL","(1:14200300)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-07,2016-02-10,2016-02-10,2016-02-10)","(4:2016-02-07,2005-09-16,2008-01-30,2006-03-18)","(4:7655X134368746,7655X600389275,7655X700389275,7655X900389275)","(4:E05003506,osgb4000000025335770,osgb1000012288409,osgb5000000000052819)","(3:3,4,13)","(4:7666OW,7666MI,7666MT,7666MA)","(1:2011-09-16)","(1:2016-02-10)","(1:2010-09-29)","(1:7655C000389275)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:ELECTRICITY SUB STATION 5M FROM 36 RICES MEWS. 7M FROM FERNDALE ROAD)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","23"
"9","291369.0","91872.0","7d73b6c3-0d28-4e5e-9e19-2aed907410fa","junction","false","a3e4984f-931c-47ea-a7d3-e401e6e629bf","Unclassified","NULL","Cecil Road","Acc","NULL","NULL","Single Carriageway","NULL","184.719","NULL","false","7d73b6c3-0d28-4e5e-9e19-2aed907410fa","b9505512-666d-4694-934e-7e4159094d94","osgb4000000025360580","uk.addressbase.uprn.10024666656","I","2011-09-16","2016-02-10","2010-04-25","10024666656.0","1","NULL","NULL","1","7655","E","N","EX2 9AX","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101171831)","(1:1)","NULL","(1:14202708)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2006-03-18,2016-02-07,2010-02-18,2015-07-16)","(4:7655X900405421,7655X134373789,7655X600405421,7655X700405421)","(4:osgb5000000000052839,E05003506,osgb4000000025447544,...)","(3:14,3,1)","(4:7666MA,7666OW,7666MI,7666MT)","(1:2011-09-16)","(1:2016-02-10)","(1:2010-04-25)","(1:7655C000405421)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:ELECTRICITY SUB STATIONS 8M FROM 4 CHURCH ROAD. 1M FROM CHURCH LANE)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11"
"10","291649.92492","91915.88278","e60e4275-8e3c-4f7c-a53d-b909aa469781","junction","false","a4199fc1-7f4d-42b2-9a0d-f969adae1b6e","Unclassified","NULL","Haven Road","Acc","NULL","NULL","Slip Road","NULL","30.054","NULL","false","e60e4275-8e3c-4f7c-a53d-b909aa469781","63e21e05-6225-4147-8ff7-d1a07a971dfd","osgb4000000025355274","uk.addressbase.uprn.10024944117","I","2011-09-16","2016-02-10","2010-02-24","10024944117.0","1","NULL","NULL","1","7655","E","N","EX4 1AH","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101415149)","(1:1)","NULL","(1:14202720)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-10,2016-02-07,2016-02-10)","(4:2014-09-09,2006-03-18,2016-02-07,2008-03-02)","(4:7655X600611657,7655X900611657,7655X135455459,7655X700611657)","(4:osgb5000005132093442,osgb5000000000739190,E05003506,...)","(3:1,17,5)","(4:7666MI,7666MA,7666OW,7666MT)","(1:2011-09-16)","(1:2016-02-10)","(1:2010-02-24)","(1:7655C000611657)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","22"
"11","291369.0","91872.0","7d73b6c3-0d28-4e5e-9e19-2aed907410fa","junction","false","ccf02662-6250-4e70-9485-2f77ce1d4c3a","Unclassified","NULL","Church Road","Acc","NULL","NULL","Single Carriageway","NULL","53.896","NULL","false","168e7ca5-7ed7-46a8-9ff3-8164e429f424","7d73b6c3-0d28-4e5e-9e19-2aed907410fa","osgb4000000025360576","uk.addressbase.uprn.10024666656","I","2011-09-16","2016-02-10","2010-04-25","10024666656.0","1","NULL","NULL","1","7655","E","N","EX2 9AX","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101171831)","(1:1)","NULL","(1:14202708)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2006-03-18,2016-02-07,2010-02-18,2015-07-16)","(4:7655X900405421,7655X134373789,7655X600405421,7655X700405421)","(4:osgb5000000000052839,E05003506,osgb4000000025447544,...)","(3:14,3,1)","(4:7666MA,7666OW,7666MI,7666MT)","(1:2011-09-16)","(1:2016-02-10)","(1:2010-04-25)","(1:7655C000405421)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:ELECTRICITY SUB STATIONS 8M FROM 4 CHURCH ROAD. 1M FROM CHURCH LANE)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11"
"12","291494.0","91736.0","b9505512-666d-4694-934e-7e4159094d94","pseudoNode","false","a3e4984f-931c-47ea-a7d3-e401e6e629bf","Unclassified","NULL","Cecil Road","Acc","NULL","NULL","Single Carriageway","NULL","184.719","NULL","false","7d73b6c3-0d28-4e5e-9e19-2aed907410fa","b9505512-666d-4694-934e-7e4159094d94","osgb4000000025360580","uk.addressbase.uprn.10024669855","I","2011-09-16","2016-02-10","2011-09-01","10024669855.0","1","NULL","NULL","1","7655","E","N","EX2 9EP","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101176617)","(1:1)","NULL","(1:14200675)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2015-07-16,2016-02-07,2015-07-16,2006-03-18)","(4:7655X600391495,7655X134389577,7655X700391495,7655X900391495)","(4:osgb5000005157234758,E05003506,osgb5000005157227017,...)","(3:1,1,17)","(4:7666MI,7666OW,7666MT,7666MA)","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655C000391495)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:ELECTRICITY SUB STATION 5M FROM 42 QUEENS ROAD. 5M FROM UNNAMED ROAD)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11"
"13","291494.0","91736.0","b9505512-666d-4694-934e-7e4159094d94","pseudoNode","false","24e9b29c-78bd-4fa7-beb4-d9a06ad6661a","Unclassified","NULL","School Road","Acc","NULL","NULL","Single Carriageway","NULL","38.949","NULL","false","107e34a0-81d9-409b-8f25-56e9fc9e9db3","b9505512-666d-4694-934e-7e4159094d94","osgb4000000025363958","uk.addressbase.uprn.10024669855","I","2011-09-16","2016-02-10","2011-09-01","10024669855.0","1","NULL","NULL","1","7655","E","N","EX2 9EP","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101176617)","(1:1)","NULL","(1:14200675)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2015-07-16,2016-02-07,2015-07-16,2006-03-18)","(4:7655X600391495,7655X134389577,7655X700391495,7655X900391495)","(4:osgb5000005157234758,E05003506,osgb5000005157227017,...)","(3:1,1,17)","(4:7666MI,7666OW,7666MT,7666MA)","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655C000391495)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:ELECTRICITY SUB STATION 5M FROM 42 QUEENS ROAD. 5M FROM UNNAMED ROAD)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11"
"14","291369.0","91872.0","7d73b6c3-0d28-4e5e-9e19-2aed907410fa","junction","false","5110f3aa-f02d-4330-9fe8-de234c8928b9","Unclassified","NULL","Cecil Road","Acc","NULL","NULL","Single Carriageway","NULL","60.216","NULL","false","3fb341ad-eb49-4eef-b05b-d05b5c301c19","7d73b6c3-0d28-4e5e-9e19-2aed907410fa","osgb4000000025360580","uk.addressbase.uprn.10024666656","I","2011-09-16","2016-02-10","2010-04-25","10024666656.0","1","NULL","NULL","1","7655","E","N","EX2 9AX","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101171831)","(1:1)","NULL","(1:14202708)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2006-03-18,2016-02-07,2010-02-18,2015-07-16)","(4:7655X900405421,7655X134373789,7655X600405421,7655X700405421)","(4:osgb5000000000052839,E05003506,osgb4000000025447544,...)","(3:14,3,1)","(4:7666MA,7666OW,7666MI,7666MT)","(1:2011-09-16)","(1:2016-02-10)","(1:2010-04-25)","(1:7655C000405421)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:ELECTRICITY SUB STATIONS 8M FROM 4 CHURCH ROAD. 1M FROM CHURCH LANE)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11"
"15","291369.0","91872.0","7d73b6c3-0d28-4e5e-9e19-2aed907410fa","junction","false","2c48bd34-105e-4670-b03f-88a3a9d494d4","Unclassified","NULL","Church Road","Acc","NULL","NULL","Single Carriageway","NULL","47.434","NULL","false","7d73b6c3-0d28-4e5e-9e19-2aed907410fa","34e90044-2d61-47e1-afd0-bc8afc4522cf","osgb4000000025360576","uk.addressbase.uprn.10024666656","I","2011-09-16","2016-02-10","2010-04-25","10024666656.0","1","NULL","NULL","1","7655","E","N","EX2 9AX","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101171831)","(1:1)","NULL","(1:14202708)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2006-03-18,2016-02-07,2010-02-18,2015-07-16)","(4:7655X900405421,7655X134373789,7655X600405421,7655X700405421)","(4:osgb5000000000052839,E05003506,osgb4000000025447544,...)","(3:14,3,1)","(4:7666MA,7666OW,7666MI,7666MT)","(1:2011-09-16)","(1:2016-02-10)","(1:2010-04-25)","(1:7655C000405421)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:ELECTRICITY SUB STATIONS 8M FROM 4 CHURCH ROAD. 1M FROM CHURCH LANE)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11"
